"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dreamy_ardinghelli","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 01:59:30,22.7 MiB,7.86 MiB,8.45 MiB,,116 MiB,173 MiB,163 MiB,167 MiB,164 MiB,313 MiB,298 MiB,98.7 MiB
2026-07-30 01:59:45,19.0 MiB,8.33 MiB,8.55 MiB,,117 MiB,175 MiB,164 MiB,171 MiB,163 MiB,321 MiB,304 MiB,98.7 MiB
2026-07-30 02:00:00,19.8 MiB,8.29 MiB,8.55 MiB,,117 MiB,174 MiB,164 MiB,166 MiB,162 MiB,328 MiB,304 MiB,98.7 MiB
2026-07-30 02:00:15,16.6 MiB,8.28 MiB,8.04 MiB,,117 MiB,174 MiB,166 MiB,166 MiB,163 MiB,310 MiB,308 MiB,98.7 MiB
2026-07-30 02:00:30,19.5 MiB,8.28 MiB,8.20 MiB,,116 MiB,173 MiB,166 MiB,164 MiB,163 MiB,305 MiB,300 MiB,105 MiB
2026-07-30 02:00:45,21.4 MiB,8.00 MiB,7.89 MiB,,116 MiB,175 MiB,166 MiB,164 MiB,165 MiB,309 MiB,300 MiB,105 MiB
2026-07-30 02:01:00,21.4 MiB,8.12 MiB,8.48 MiB,,116 MiB,174 MiB,166 MiB,166 MiB,164 MiB,310 MiB,295 MiB,105 MiB
2026-07-30 02:01:15,19.7 MiB,8.12 MiB,8.40 MiB,,115 MiB,174 MiB,166 MiB,167 MiB,164 MiB,311 MiB,295 MiB,105 MiB
2026-07-30 02:01:30,20.7 MiB,7.80 MiB,7.78 MiB,,115 MiB,173 MiB,164 MiB,163 MiB,165 MiB,309 MiB,299 MiB,105 MiB
2026-07-30 02:01:45,20.7 MiB,8.05 MiB,7.78 MiB,,113 MiB,173 MiB,166 MiB,166 MiB,164 MiB,309 MiB,297 MiB,105 MiB
2026-07-30 02:02:00,17.4 MiB,8.07 MiB,8.53 MiB,,113 MiB,173 MiB,167 MiB,168 MiB,168 MiB,316 MiB,299 MiB,105 MiB
2026-07-30 02:02:15,17.4 MiB,8.02 MiB,8.15 MiB,,111 MiB,174 MiB,167 MiB,167 MiB,166 MiB,316 MiB,299 MiB,106 MiB
2026-07-30 02:02:30,20.9 MiB,7.87 MiB,8.23 MiB,,111 MiB,174 MiB,168 MiB,169 MiB,167 MiB,313 MiB,301 MiB,106 MiB
2026-07-30 02:02:45,17.4 MiB,8.31 MiB,8.27 MiB,,111 MiB,175 MiB,167 MiB,168 MiB,164 MiB,313 MiB,301 MiB,106 MiB
2026-07-30 02:03:00,17.4 MiB,7.86 MiB,8.27 MiB,,110 MiB,175 MiB,166 MiB,168 MiB,167 MiB,327 MiB,312 MiB,106 MiB
