"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","focused_wilson","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peaceful_franklin","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:09:15,16.9 MiB,8.94 MiB,8.94 MiB,,99.2 MiB,167 MiB,159 MiB,162 MiB,164 MiB,,318 MiB,304 MiB,93.6 MiB
2026-07-30 03:09:30,18.8 MiB,8.41 MiB,8.65 MiB,,99.2 MiB,165 MiB,159 MiB,159 MiB,164 MiB,,286 MiB,293 MiB,93.7 MiB
2026-07-30 03:09:45,18.8 MiB,8.36 MiB,8.25 MiB,,99.2 MiB,178 MiB,174 MiB,169 MiB,177 MiB,,291 MiB,293 MiB,93.7 MiB
2026-07-30 03:10:00,20.2 MiB,9.89 MiB,8.25 MiB,,99.2 MiB,178 MiB,171 MiB,179 MiB,176 MiB,,292 MiB,296 MiB,94.5 MiB
2026-07-30 03:10:15,20.2 MiB,8.63 MiB,10.3 MiB,,99.2 MiB,190 MiB,182 MiB,177 MiB,185 MiB,,315 MiB,296 MiB,94.6 MiB
2026-07-30 03:10:30,21.6 MiB,9.20 MiB,9.66 MiB,,99.2 MiB,197 MiB,177 MiB,180 MiB,183 MiB,,315 MiB,315 MiB,94.6 MiB
2026-07-30 03:10:45,20.2 MiB,8.44 MiB,8.79 MiB,,99.2 MiB,197 MiB,183 MiB,180 MiB,186 MiB,,320 MiB,318 MiB,101 MiB
2026-07-30 03:11:00,17.4 MiB,8.44 MiB,9.03 MiB,,99.2 MiB,192 MiB,185 MiB,181 MiB,185 MiB,,322 MiB,319 MiB,101 MiB
2026-07-30 03:11:15,18.4 MiB,8.27 MiB,8.97 MiB,,99.2 MiB,192 MiB,181 MiB,181 MiB,182 MiB,,328 MiB,319 MiB,108 MiB
2026-07-30 03:11:30,20.7 MiB,8.24 MiB,9.09 MiB,,99.2 MiB,191 MiB,183 MiB,181 MiB,188 MiB,,315 MiB,314 MiB,108 MiB
2026-07-30 03:11:45,19.3 MiB,8.57 MiB,8.95 MiB,,99.2 MiB,191 MiB,181 MiB,184 MiB,188 MiB,,315 MiB,316 MiB,108 MiB
2026-07-30 03:12:00,20.5 MiB,9.02 MiB,9.46 MiB,,99.2 MiB,193 MiB,179 MiB,185 MiB,192 MiB,,317 MiB,323 MiB,108 MiB
2026-07-30 03:12:15,20.7 MiB,8.14 MiB,8.99 MiB,,99.2 MiB,189 MiB,179 MiB,182 MiB,182 MiB,,329 MiB,323 MiB,108 MiB
2026-07-30 03:12:30,20.2 MiB,8.48 MiB,8.59 MiB,,99.2 MiB,196 MiB,184 MiB,178 MiB,186 MiB,,325 MiB,328 MiB,108 MiB
2026-07-30 03:12:45,20.2 MiB,8.23 MiB,8.59 MiB,,99.2 MiB,188 MiB,179 MiB,182 MiB,193 MiB,,332 MiB,328 MiB,108 MiB
2026-07-30 03:13:00,21.7 MiB,8.85 MiB,9.66 MiB,,99.1 MiB,188 MiB,189 MiB,186 MiB,193 MiB,,332 MiB,310 MiB,108 MiB
2026-07-30 03:13:15,20.5 MiB,8.52 MiB,8.61 MiB,,99.1 MiB,189 MiB,189 MiB,186 MiB,185 MiB,,313 MiB,315 MiB,108 MiB
2026-07-30 03:13:30,17.3 MiB,8.52 MiB,8.61 MiB,,99.1 MiB,189 MiB,189 MiB,186 MiB,185 MiB,,314 MiB,315 MiB,94.3 MiB
2026-07-30 03:13:45,18.5 MiB,8.52 MiB,8.61 MiB,,99.1 MiB,190 MiB,189 MiB,186 MiB,185 MiB,,303 MiB,315 MiB,94.3 MiB
2026-07-30 03:14:00,20.4 MiB,8.26 MiB,8.61 MiB,,99.1 MiB,191 MiB,189 MiB,186 MiB,185 MiB,,286 MiB,315 MiB,94.3 MiB
