"Time","cadvisor","charming_mirzakhani","charming_williams","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 07:18:00,22.0 MiB,,,8.69 MiB,8.20 MiB,99.3 MiB,181 MiB,174 MiB,180 MiB,177 MiB,294 MiB,296 MiB,90.3 MiB
2026-07-29 07:18:15,20.4 MiB,,,8.43 MiB,8.80 MiB,99.3 MiB,181 MiB,179 MiB,181 MiB,182 MiB,302 MiB,295 MiB,89.9 MiB
2026-07-29 07:18:30,17.8 MiB,,,8.80 MiB,8.30 MiB,99.2 MiB,185 MiB,177 MiB,173 MiB,184 MiB,291 MiB,292 MiB,89.2 MiB
2026-07-29 07:18:45,18.6 MiB,,,8.88 MiB,8.13 MiB,99.3 MiB,183 MiB,174 MiB,178 MiB,182 MiB,291 MiB,294 MiB,89.7 MiB
2026-07-29 07:19:00,18.6 MiB,,,8.71 MiB,8.36 MiB,99.3 MiB,189 MiB,179 MiB,167 MiB,182 MiB,297 MiB,295 MiB,89.7 MiB
2026-07-29 07:19:15,18.9 MiB,,,9.53 MiB,8.36 MiB,99.3 MiB,189 MiB,179 MiB,176 MiB,182 MiB,294 MiB,295 MiB,89.5 MiB
2026-07-29 07:19:30,19.7 MiB,,,8.21 MiB,8.51 MiB,99.3 MiB,196 MiB,189 MiB,170 MiB,184 MiB,297 MiB,296 MiB,88.8 MiB
2026-07-29 07:19:45,18.0 MiB,,,8.45 MiB,8.35 MiB,99.3 MiB,184 MiB,173 MiB,170 MiB,171 MiB,301 MiB,299 MiB,89.0 MiB
2026-07-29 07:20:00,18.0 MiB,,,8.71 MiB,8.67 MiB,99.2 MiB,198 MiB,181 MiB,185 MiB,171 MiB,326 MiB,310 MiB,89.0 MiB
2026-07-29 07:20:15,21.4 MiB,,,8.38 MiB,8.67 MiB,99.2 MiB,189 MiB,181 MiB,178 MiB,177 MiB,308 MiB,307 MiB,89.8 MiB
2026-07-29 07:20:30,17.3 MiB,,,8.38 MiB,8.18 MiB,99.2 MiB,196 MiB,181 MiB,176 MiB,177 MiB,312 MiB,299 MiB,90.5 MiB
2026-07-29 07:20:45,17.3 MiB,,,8.20 MiB,8.45 MiB,99.2 MiB,196 MiB,181 MiB,178 MiB,185 MiB,297 MiB,299 MiB,90.6 MiB
2026-07-29 07:21:00,18.2 MiB,,,8.19 MiB,9.00 MiB,99.2 MiB,189 MiB,177 MiB,175 MiB,180 MiB,298 MiB,301 MiB,90.7 MiB
2026-07-29 07:21:15,21.6 MiB,,,8.34 MiB,8.55 MiB,99.2 MiB,189 MiB,194 MiB,175 MiB,189 MiB,302 MiB,301 MiB,90.7 MiB
2026-07-29 07:21:30,21.4 MiB,,,8.34 MiB,8.98 MiB,99.2 MiB,193 MiB,169 MiB,172 MiB,184 MiB,302 MiB,305 MiB,90.7 MiB
2026-07-29 07:21:45,15.8 MiB,,,8.04 MiB,8.31 MiB,99.2 MiB,189 MiB,183 MiB,188 MiB,184 MiB,310 MiB,308 MiB,90.7 MiB
2026-07-29 07:22:00,15.8 MiB,,,7.91 MiB,8.31 MiB,99.2 MiB,197 MiB,176 MiB,172 MiB,179 MiB,312 MiB,309 MiB,97.0 MiB
2026-07-29 07:22:15,18.3 MiB,,,8.64 MiB,8.71 MiB,99.2 MiB,200 MiB,176 MiB,196 MiB,193 MiB,307 MiB,309 MiB,97.0 MiB
2026-07-29 07:22:30,21.2 MiB,,,8.27 MiB,8.71 MiB,99.2 MiB,192 MiB,186 MiB,177 MiB,193 MiB,305 MiB,304 MiB,97.1 MiB
