"Time","beautiful_archimedes","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 06:45:45,,19.5 MiB,7.51 MiB,8.13 MiB,98.7 MiB,149 MiB,148 MiB,150 MiB,151 MiB,285 MiB,280 MiB,92.4 MiB
2026-07-30 06:46:00,,20.7 MiB,7.62 MiB,7.94 MiB,98.7 MiB,149 MiB,148 MiB,150 MiB,151 MiB,285 MiB,275 MiB,92.4 MiB
2026-07-30 06:46:15,,17.5 MiB,7.53 MiB,7.98 MiB,98.7 MiB,153 MiB,148 MiB,150 MiB,151 MiB,285 MiB,275 MiB,92.4 MiB
2026-07-30 06:46:30,,19.5 MiB,7.61 MiB,7.90 MiB,98.7 MiB,153 MiB,154 MiB,157 MiB,152 MiB,292 MiB,275 MiB,81.3 MiB
2026-07-30 06:46:45,,19.1 MiB,7.69 MiB,8.26 MiB,98.7 MiB,152 MiB,150 MiB,152 MiB,151 MiB,279 MiB,273 MiB,89.1 MiB
2026-07-30 06:47:00,,17.7 MiB,7.69 MiB,8.26 MiB,98.7 MiB,152 MiB,150 MiB,151 MiB,151 MiB,279 MiB,273 MiB,89.2 MiB
2026-07-30 06:47:15,,18.4 MiB,7.81 MiB,8.03 MiB,98.7 MiB,152 MiB,148 MiB,152 MiB,152 MiB,280 MiB,271 MiB,89.2 MiB
2026-07-30 06:47:30,,18.4 MiB,7.75 MiB,8.48 MiB,98.7 MiB,167 MiB,157 MiB,162 MiB,168 MiB,299 MiB,283 MiB,90.2 MiB
2026-07-30 06:47:45,,22.7 MiB,7.85 MiB,8.22 MiB,98.7 MiB,168 MiB,161 MiB,163 MiB,165 MiB,303 MiB,289 MiB,97.3 MiB
2026-07-30 06:48:00,,23.2 MiB,7.85 MiB,8.19 MiB,98.7 MiB,169 MiB,162 MiB,164 MiB,166 MiB,305 MiB,290 MiB,97.6 MiB
2026-07-30 06:48:15,,17.9 MiB,8.33 MiB,8.19 MiB,98.7 MiB,169 MiB,163 MiB,166 MiB,168 MiB,309 MiB,297 MiB,97.8 MiB
2026-07-30 06:48:30,,16.0 MiB,8.16 MiB,8.43 MiB,98.7 MiB,170 MiB,161 MiB,163 MiB,168 MiB,307 MiB,300 MiB,97.8 MiB
2026-07-30 06:48:45,,18.3 MiB,8.01 MiB,8.37 MiB,98.7 MiB,170 MiB,160 MiB,163 MiB,168 MiB,307 MiB,298 MiB,104 MiB
2026-07-30 06:49:00,,23.4 MiB,8.01 MiB,8.23 MiB,98.8 MiB,170 MiB,163 MiB,163 MiB,167 MiB,309 MiB,299 MiB,110 MiB
2026-07-30 06:49:15,,21.6 MiB,8.21 MiB,8.73 MiB,98.8 MiB,169 MiB,162 MiB,163 MiB,168 MiB,309 MiB,300 MiB,110 MiB
2026-07-30 06:49:30,,20.4 MiB,8.21 MiB,8.46 MiB,98.8 MiB,166 MiB,162 MiB,163 MiB,168 MiB,313 MiB,300 MiB,110 MiB
2026-07-30 06:49:45,,17.4 MiB,8.16 MiB,8.12 MiB,98.8 MiB,173 MiB,162 MiB,162 MiB,168 MiB,313 MiB,307 MiB,110 MiB
2026-07-30 06:50:00,,18.7 MiB,8.06 MiB,8.62 MiB,98.8 MiB,170 MiB,162 MiB,164 MiB,168 MiB,307 MiB,311 MiB,110 MiB
2026-07-30 06:50:15,,18.7 MiB,8.53 MiB,8.55 MiB,98.8 MiB,172 MiB,163 MiB,168 MiB,166 MiB,307 MiB,297 MiB,117 MiB
