"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","loving_brahmagupta","musing_black","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 02:14:45,19.4 MiB,8.15 MiB,7.61 MiB,98.1 MiB,,,157 MiB,154 MiB,146 MiB,142 MiB,221 MiB,218 MiB,104 MiB
2026-07-30 02:15:00,19.4 MiB,7.57 MiB,7.75 MiB,98.1 MiB,,,157 MiB,154 MiB,152 MiB,151 MiB,243 MiB,238 MiB,104 MiB
2026-07-30 02:15:15,20.5 MiB,7.97 MiB,7.75 MiB,98.1 MiB,,,157 MiB,155 MiB,154 MiB,151 MiB,246 MiB,240 MiB,104 MiB
2026-07-30 02:15:30,20.5 MiB,7.80 MiB,7.95 MiB,98.1 MiB,,,159 MiB,156 MiB,158 MiB,152 MiB,246 MiB,248 MiB,104 MiB
2026-07-30 02:15:45,21.1 MiB,8.02 MiB,7.95 MiB,98.1 MiB,,,159 MiB,156 MiB,158 MiB,152 MiB,250 MiB,247 MiB,92.9 MiB
2026-07-30 02:16:00,20.6 MiB,8.02 MiB,7.95 MiB,98.1 MiB,,,159 MiB,156 MiB,157 MiB,154 MiB,250 MiB,247 MiB,99.8 MiB
2026-07-30 02:16:15,22.4 MiB,8.43 MiB,8.36 MiB,98.1 MiB,,,158 MiB,152 MiB,158 MiB,155 MiB,260 MiB,248 MiB,104 MiB
2026-07-30 02:16:30,22.4 MiB,8.43 MiB,7.70 MiB,98.1 MiB,,,161 MiB,156 MiB,158 MiB,155 MiB,256 MiB,250 MiB,105 MiB
2026-07-30 02:16:45,20.1 MiB,8.10 MiB,8.57 MiB,98.1 MiB,,,160 MiB,154 MiB,162 MiB,153 MiB,257 MiB,251 MiB,105 MiB
2026-07-30 02:17:00,19.7 MiB,8.33 MiB,8.69 MiB,98.1 MiB,,,160 MiB,153 MiB,155 MiB,153 MiB,259 MiB,256 MiB,105 MiB
2026-07-30 02:17:15,19.7 MiB,8.33 MiB,8.52 MiB,98.1 MiB,,,160 MiB,153 MiB,157 MiB,151 MiB,262 MiB,257 MiB,105 MiB
2026-07-30 02:17:30,18.4 MiB,8.04 MiB,8.79 MiB,98.1 MiB,,,162 MiB,155 MiB,162 MiB,154 MiB,262 MiB,258 MiB,105 MiB
2026-07-30 02:17:45,19.7 MiB,8.04 MiB,8.43 MiB,98.1 MiB,,,161 MiB,155 MiB,158 MiB,152 MiB,265 MiB,258 MiB,105 MiB
2026-07-30 02:18:00,22.3 MiB,7.62 MiB,8.03 MiB,98.1 MiB,,,161 MiB,156 MiB,158 MiB,152 MiB,263 MiB,259 MiB,98.9 MiB
2026-07-30 02:18:15,23.3 MiB,8.31 MiB,8.47 MiB,98.1 MiB,,,159 MiB,156 MiB,155 MiB,152 MiB,265 MiB,267 MiB,98.9 MiB
2026-07-30 02:18:30,18.6 MiB,8.31 MiB,8.47 MiB,98.1 MiB,,,159 MiB,154 MiB,157 MiB,154 MiB,278 MiB,262 MiB,98.9 MiB
2026-07-30 02:18:45,19.3 MiB,7.91 MiB,8.34 MiB,98.2 MiB,,,163 MiB,154 MiB,157 MiB,153 MiB,259 MiB,260 MiB,102 MiB
2026-07-30 02:19:00,20.9 MiB,8.92 MiB,8.85 MiB,98.2 MiB,,,163 MiB,156 MiB,160 MiB,152 MiB,261 MiB,263 MiB,102 MiB
2026-07-30 02:19:15,20.9 MiB,8.16 MiB,8.85 MiB,98.3 MiB,,,161 MiB,155 MiB,158 MiB,154 MiB,267 MiB,265 MiB,102 MiB
2026-07-30 02:19:30,20.8 MiB,8.16 MiB,8.05 MiB,98.3 MiB,,,161 MiB,156 MiB,158 MiB,154 MiB,264 MiB,262 MiB,102 MiB
2026-07-30 02:19:45,17.9 MiB,7.96 MiB,8.34 MiB,98.2 MiB,,,163 MiB,156 MiB,158 MiB,154 MiB,270 MiB,262 MiB,101 MiB
2026-07-30 02:20:00,17.8 MiB,7.85 MiB,8.20 MiB,98.2 MiB,,,158 MiB,155 MiB,157 MiB,151 MiB,270 MiB,273 MiB,101 MiB
2026-07-30 02:20:15,18.1 MiB,9.49 MiB,7.89 MiB,98.2 MiB,,,158 MiB,156 MiB,160 MiB,152 MiB,277 MiB,274 MiB,101 MiB
2026-07-30 02:20:30,20.4 MiB,8.50 MiB,8.27 MiB,98.2 MiB,,,164 MiB,160 MiB,162 MiB,156 MiB,304 MiB,274 MiB,101 MiB
2026-07-30 02:20:45,20.4 MiB,8.47 MiB,9.22 MiB,97.8 MiB,,,163 MiB,160 MiB,164 MiB,156 MiB,301 MiB,282 MiB,101 MiB
2026-07-30 02:21:00,21.0 MiB,9.06 MiB,8.58 MiB,97.8 MiB,,,164 MiB,159 MiB,156 MiB,156 MiB,294 MiB,287 MiB,102 MiB
2026-07-30 02:21:15,22.0 MiB,9.18 MiB,9.03 MiB,97.8 MiB,,,164 MiB,159 MiB,160 MiB,159 MiB,294 MiB,287 MiB,101 MiB
2026-07-30 02:21:30,23.2 MiB,8.61 MiB,8.61 MiB,97.8 MiB,,,163 MiB,158 MiB,164 MiB,157 MiB,295 MiB,289 MiB,99.3 MiB
2026-07-30 02:21:45,18.3 MiB,9.54 MiB,8.45 MiB,97.8 MiB,,,165 MiB,160 MiB,161 MiB,157 MiB,295 MiB,289 MiB,101 MiB
2026-07-30 02:22:00,19.2 MiB,8.65 MiB,8.45 MiB,97.8 MiB,,,167 MiB,158 MiB,161 MiB,157 MiB,300 MiB,290 MiB,101 MiB
2026-07-30 02:22:15,18.1 MiB,8.65 MiB,10.7 MiB,97.8 MiB,,,174 MiB,160 MiB,163 MiB,161 MiB,300 MiB,296 MiB,101 MiB
2026-07-30 02:22:30,19.6 MiB,9.05 MiB,10.7 MiB,97.7 MiB,,,166 MiB,159 MiB,163 MiB,159 MiB,310 MiB,300 MiB,101 MiB
2026-07-30 02:22:45,17.0 MiB,8.71 MiB,9.18 MiB,97.8 MiB,,,173 MiB,163 MiB,167 MiB,162 MiB,310 MiB,300 MiB,98.2 MiB
2026-07-30 02:23:00,17.0 MiB,8.98 MiB,9.28 MiB,97.8 MiB,,,165 MiB,166 MiB,162 MiB,156 MiB,319 MiB,305 MiB,98.7 MiB
2026-07-30 02:23:15,22.2 MiB,9.39 MiB,9.73 MiB,97.8 MiB,,,173 MiB,160 MiB,162 MiB,158 MiB,302 MiB,300 MiB,99.4 MiB
2026-07-30 02:23:30,19.9 MiB,8.37 MiB,9.02 MiB,97.6 MiB,,,168 MiB,159 MiB,164 MiB,160 MiB,321 MiB,302 MiB,99.4 MiB
2026-07-30 02:23:45,17.0 MiB,8.37 MiB,9.64 MiB,97.6 MiB,,,168 MiB,161 MiB,157 MiB,158 MiB,317 MiB,302 MiB,99.4 MiB
2026-07-30 02:24:00,17.5 MiB,8.48 MiB,8.79 MiB,97.7 MiB,,,168 MiB,160 MiB,160 MiB,155 MiB,311 MiB,302 MiB,92.2 MiB
2026-07-30 02:24:15,21.7 MiB,8.85 MiB,8.79 MiB,97.7 MiB,,,172 MiB,160 MiB,162 MiB,161 MiB,324 MiB,302 MiB,92.2 MiB
2026-07-30 02:24:30,21.7 MiB,8.46 MiB,8.41 MiB,97.7 MiB,,,172 MiB,161 MiB,162 MiB,160 MiB,324 MiB,290 MiB,92.2 MiB
