"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","youthful_cray","zen_agnesi"
2026-07-29 03:09:00,20.0 MiB,7.73 MiB,7.64 MiB,98.9 MiB,197 MiB,192 MiB,190 MiB,206 MiB,317 MiB,314 MiB,104 MiB,,
2026-07-29 03:09:15,20.0 MiB,7.57 MiB,7.29 MiB,98.9 MiB,197 MiB,186 MiB,183 MiB,184 MiB,318 MiB,314 MiB,104 MiB,,
2026-07-29 03:09:30,14.3 MiB,7.78 MiB,7.58 MiB,98.9 MiB,194 MiB,182 MiB,183 MiB,184 MiB,308 MiB,314 MiB,105 MiB,,
2026-07-29 03:09:45,18 MiB,7.48 MiB,7.58 MiB,98.9 MiB,194 MiB,182 MiB,183 MiB,183 MiB,308 MiB,313 MiB,105 MiB,,
2026-07-29 03:10:00,17.8 MiB,7.66 MiB,7.30 MiB,98.9 MiB,192 MiB,182 MiB,185 MiB,180 MiB,308 MiB,313 MiB,105 MiB,,
2026-07-29 03:10:15,17.8 MiB,7.66 MiB,7.97 MiB,98.9 MiB,181 MiB,182 MiB,185 MiB,180 MiB,310 MiB,313 MiB,105 MiB,,
2026-07-29 03:10:30,14.9 MiB,7.61 MiB,7.47 MiB,99.0 MiB,182 MiB,169 MiB,165 MiB,172 MiB,310 MiB,314 MiB,105 MiB,,
2026-07-29 03:10:45,17.7 MiB,8.03 MiB,8.08 MiB,99.0 MiB,184 MiB,166 MiB,168 MiB,172 MiB,307 MiB,316 MiB,101 MiB,,
2026-07-29 03:11:00,20.8 MiB,7.83 MiB,7.98 MiB,99.0 MiB,184 MiB,166 MiB,168 MiB,167 MiB,307 MiB,305 MiB,101 MiB,,
2026-07-29 03:11:15,17.5 MiB,7.81 MiB,7.49 MiB,99.0 MiB,185 MiB,171 MiB,172 MiB,172 MiB,304 MiB,308 MiB,101 MiB,,
2026-07-29 03:11:30,18.5 MiB,7.62 MiB,7.69 MiB,99.0 MiB,183 MiB,173 MiB,167 MiB,173 MiB,305 MiB,308 MiB,101 MiB,,
2026-07-29 03:11:45,20.8 MiB,7.62 MiB,7.69 MiB,98.9 MiB,183 MiB,172 MiB,172 MiB,171 MiB,305 MiB,305 MiB,101 MiB,,
2026-07-29 03:12:00,20.8 MiB,7.90 MiB,7.86 MiB,98.9 MiB,185 MiB,172 MiB,172 MiB,171 MiB,301 MiB,310 MiB,101 MiB,,
2026-07-29 03:12:15,17.5 MiB,7.65 MiB,8.09 MiB,98.9 MiB,186 MiB,177 MiB,172 MiB,169 MiB,304 MiB,307 MiB,102 MiB,,
2026-07-29 03:12:30,19.4 MiB,7.65 MiB,7.82 MiB,98.9 MiB,184 MiB,178 MiB,165 MiB,171 MiB,304 MiB,309 MiB,102 MiB,,
2026-07-29 03:12:45,17.5 MiB,8.04 MiB,8.15 MiB,98.9 MiB,184 MiB,177 MiB,167 MiB,171 MiB,314 MiB,313 MiB,102 MiB,,
2026-07-29 03:13:00,17.3 MiB,8.16 MiB,7.90 MiB,98.9 MiB,189 MiB,178 MiB,167 MiB,172 MiB,314 MiB,307 MiB,93.2 MiB,,
2026-07-29 03:13:15,17.3 MiB,7.90 MiB,7.89 MiB,98.9 MiB,187 MiB,172 MiB,173 MiB,175 MiB,304 MiB,306 MiB,93.2 MiB,,
2026-07-29 03:13:30,20.0 MiB,7.82 MiB,7.91 MiB,98.8 MiB,185 MiB,173 MiB,175 MiB,169 MiB,303 MiB,307 MiB,93.9 MiB,,
2026-07-29 03:13:45,21.4 MiB,8.02 MiB,7.85 MiB,98.8 MiB,185 MiB,173 MiB,170 MiB,173 MiB,311 MiB,307 MiB,93.9 MiB,,
2026-07-29 03:14:00,17.7 MiB,7.51 MiB,7.95 MiB,98.8 MiB,182 MiB,175 MiB,170 MiB,175 MiB,302 MiB,304 MiB,103 MiB,,
2026-07-29 03:14:15,17.7 MiB,7.95 MiB,8.13 MiB,98.8 MiB,182 MiB,174 MiB,171 MiB,176 MiB,300 MiB,301 MiB,103 MiB,,
2026-07-29 03:14:30,18.7 MiB,8 MiB,7.99 MiB,98.9 MiB,190 MiB,175 MiB,172 MiB,176 MiB,300 MiB,302 MiB,103 MiB,,
2026-07-29 03:14:45,18.7 MiB,7.74 MiB,7.58 MiB,98.9 MiB,190 MiB,172 MiB,172 MiB,170 MiB,300 MiB,305 MiB,109 MiB,,
2026-07-29 03:15:00,21.1 MiB,7.74 MiB,7.58 MiB,98.8 MiB,188 MiB,164 MiB,174 MiB,174 MiB,296 MiB,300 MiB,109 MiB,,
2026-07-29 03:15:15,21.1 MiB,8.02 MiB,7.63 MiB,98.8 MiB,185 MiB,167 MiB,173 MiB,178 MiB,299 MiB,303 MiB,109 MiB,,
2026-07-29 03:15:30,22.1 MiB,7.80 MiB,7.63 MiB,98.8 MiB,186 MiB,167 MiB,174 MiB,178 MiB,301 MiB,302 MiB,109 MiB,,
2026-07-29 03:15:45,22.1 MiB,8.23 MiB,7.96 MiB,98.8 MiB,180 MiB,175 MiB,174 MiB,180 MiB,303 MiB,302 MiB,109 MiB,,
2026-07-29 03:16:00,19.8 MiB,8.75 MiB,9.43 MiB,98.8 MiB,185 MiB,175 MiB,174 MiB,174 MiB,303 MiB,296 MiB,109 MiB,,
2026-07-29 03:16:15,18.5 MiB,8.26 MiB,9.43 MiB,98.8 MiB,182 MiB,180 MiB,173 MiB,176 MiB,299 MiB,298 MiB,109 MiB,,
2026-07-29 03:16:30,20.1 MiB,8.83 MiB,8.12 MiB,99.1 MiB,182 MiB,175 MiB,172 MiB,176 MiB,299 MiB,295 MiB,109 MiB,,
2026-07-29 03:16:45,21.6 MiB,8.22 MiB,8.26 MiB,99.1 MiB,189 MiB,175 MiB,172 MiB,192 MiB,305 MiB,294 MiB,109 MiB,,
2026-07-29 03:17:00,17.6 MiB,8.48 MiB,8.26 MiB,99.1 MiB,187 MiB,175 MiB,179 MiB,183 MiB,292 MiB,292 MiB,103 MiB,,
2026-07-29 03:17:15,17.6 MiB,8.33 MiB,8.22 MiB,99.3 MiB,200 MiB,178 MiB,179 MiB,183 MiB,292 MiB,304 MiB,109 MiB,,
2026-07-29 03:17:30,14.4 MiB,8.45 MiB,8.30 MiB,99.3 MiB,200 MiB,178 MiB,179 MiB,178 MiB,299 MiB,302 MiB,113 MiB,,
2026-07-29 03:17:45,14.4 MiB,8.45 MiB,8.30 MiB,99.4 MiB,207 MiB,185 MiB,180 MiB,171 MiB,303 MiB,302 MiB,113 MiB,,
